RACE,SepHash,CLevel,Plush
0.406901,0.911504,0.203451,0.305176
0.447591,0.930706,0.223796,0.335693
0.488281,0.928117,0.244141,0.366211
0.528971,0.959966,0.264486,0.393653
0.569661,0.923894,0.284831,0.423934
0.610352,0.959837,0.305176,0.454215
0.651042,0.920596,0.3255,0.473485
0.691732,0.966196,0.345846,0.470966
0.732422,0.944024,0.366191,0.481592
0.773112,0.965497,0.386536,0.48194
0.813802,0.951135,0.406881,0.46503
0.854492,0.959584,0.427226,0.448258
0.842525,0.962117,0.447571,0.431847
0.748698,0.954572,0.467916,0.419831
0.558036,0.971219,0.488261,0.412996
0.508626,0.959478,0.508586,0.413798
0.528971,0.970341,0.528931,0.411184
0.549316,0.967862,0.549276,0.423569
0.569661,0.96958,0.569621,0.432312
0.590007,0.975048,0.589966,0.44424
0.610352,0.968913,0.610291,0.457764
0.630697,0.974077,0.630636,0.473022
0.651042,0.964755,0.650981,0.488281
0.671387,0.976627,0.671326,0.50354
0.691732,0.974482,0.691671,0.517535
0.712077,0.978889,0.712016,0.527999
0.732422,0.973668,0.732361,0.542038
0.752767,0.974825,0.752706,0.555756
0.773112,0.981841,0.773051,0.562263
0.793457,0.976961,0.793396,0.56686
0.813802,0.980765,0.406891,0.568958
0.834147,0.970566,0.417053,0.562692
0.854492,0.979786,0.427226,0.556026
0.874837,0.975372,0.437398,0.547799
0.842525,0.976312,0.447571,0.545527
0.77097,0.98473,0.457743,0.550607
0.651042,0.978068,0.467916,0.548559
0.536824,0.986082,0.478078,0.545294
0.512295,0.979679,0.488251,0.544761
0.506366,0.989599,0.498423,0.550216
0.508626,0.974322,0.508596,0.553293
0.518799,0.986275,0.518768,0.557645
0.528971,0.978161,0.528941,0.562478
0.539144,0.983173,0.539113,0.57053
0.549316,0.987959,0.549286,0.581295
0.559489,0.980272,0.559458,0.59206
0.569661,0.98698,0.569631,0.602202
0.579834,0.979559,0.289912,0.611903
0.590007,0.984118,0.294998,0.619235
0.600179,0.984672,0.300084,0.627233
0.610352,0.985207,0.305171,0.629617
0.620524,0.985724,0.310257,0.634571
0.630697,0.986225,0.315343,0.63765
0.640869,0.98671,0.320429,0.638893
0.651042,0.983645,0.325516,0.641437
0.661214,0.989365,0.141689,0.644023
0.671387,0.986367,0.143869,0.638842
0.681559,0.990182,0.146048,0.635047
0.691732,0.985599,0.148228,0.635752
0.701904,0.986053,0.150408,0.635968
0.712077,0.986493,0.152588,0.643004
0.722249,0.988511,0.154768,0.647338
0.732422,0.988904,0.156948,0.651513
0.742594,0.987741,0.159125,0.654403
0.752767,0.986605,0.188192,0.65996
0.762939,0.99002,0.190735,0.662825
0.773112,0.985911,0.193278,0.668732
0.783285,0.990715,0.195821,0.677531
0.793457,0.988158,0.198364,0.682773
0.80363,0.989951,0.200907,0.689402
0.813802,0.988876,0.203451,0.692617
0.823975,0.989222,0.205994,0.698083
0.834147,0.989559,0.208537,0.697564
0.84432,0.988527,0.21108,0.701203
0.854492,0.988864,0.213623,0.700374
0.851362,0.987862,0.216166,0.704109
0.861378,0.990829,0.218709,0.700691
0.871394,0.989831,0.221252,0.701161
0.8551,0.990138,0.223796,0.703055
0.827753,0.987896,0.226336,0.705006
0.791807,0.990733,0.228879,0.705772
0.74056,0.99102,0.231422,0.706346
0.658196,0.991301,0.233966,0.703794
0.630697,0.990362,0.236509,0.705572
0.594155,0.991845,0.239052,0.705451
0.552223,0.989731,0.241595,0.710312
0.516529,0.991192,0.244138,0.715478
0.501199,0.987955,0.246681,0.719243
0.498454,0.991716,0.249224,0.721097
0.50354,0.989687,0.251767,0.725977
0.508626,0.98996,0.254311,0.732279
0.513713,0.993578,0.256854,0.735208
0.518799,0.990489,0.259394,0.737335
0.523885,0.992938,0.261937,0.741135
0.528971,0.989909,0.264481,0.744388
0.534058,0.991245,0.267024,0.746757
0.534964,0.99042,0.269567,0.746815
0.540011,0.991725,0.27211,0.745374
0.545058,0.991958,0.274653,0.74413
0.550105,0.99115,0.277196,0.745758
0.555152,0.991385,0.279739,0.740841
0.560199,0.990596,0.282283,0.741661
0.565245,0.991841,0.284826,0.742784
0.570292,0.991063,0.287369,0.744675
0.575339,0.992282,0.289912,0.750474
0.580386,0.993477,0.292455,0.752145
0.585433,0.991748,0.294998,0.752856
0.59048,0.993918,0.297541,0.753633
0.595526,0.988413,0.300084,0.75641
0.600573,0.989658,0.302628,0.760325
0.60562,0.987086,0.305171,0.762738
0.610667,0.9864,0.307714,0.764816
0.615714,0.981076,0.310257,0.769037
0.620761,0.986894,0.3128,0.773235
0.625807,0.987134,0.315343,0.776009
0.630854,0.983755,0.317886,0.777286
0.635901,0.98671,0.320429,0.778778
0.640948,0.986947,0.322973,0.779103
0.645995,0.98718,0.325516,0.778134
0.651042,0.98214,0.328059,0.777108
0.656089,0.986767,0.330602,0.779003
0.661135,0.986997,0.333145,0.779836
0.666182,0.98551,0.335688,0.777275
0.671229,0.984041,0.338231,0.777669
0.676276,0.989344,0.340775,0.781104
0.681323,0.986206,0.343318,0.785249
0.68637,0.985599,0.345861,0.786964
0.691416,0.985828,0.348404,0.786994
0.696463,0.987691,0.350947,0.788391
0.70151,0.987088,0.35349,0.790348
0.706557,0.986493,0.356033,0.789711
0.711604,0.98831,0.358576,0.792634
0.716651,0.988511,0.36112,0.794326
0.721697,0.986338,0.363663,0.792753
0.726744,0.988904,0.366206,0.795334
0.731791,0.989096,0.368749,0.800857
0.736838,0.989286,0.371292,0.798547
0.741885,0.987169,0.373835,0.798705
0.746932,0.988896,0.376378,0.801351
0.751978,0.98984,0.378922,0.803286
0.757025,0.988517,0.381465,0.799983
0.762072,0.987207,0.384008,0.80244
0.767119,0.987402,0.386551,0.801214
0.772166,0.990545,0.389094,0.801954
0.777213,0.988519,0.391637,0.804228
0.782259,0.987243,0.39418,0.804877
0.787306,0.988883,0.396723,0.804787
0.792353,0.988341,0.399267,0.804831
0.7974,0.987806,0.40181,0.806781
0.802447,0.9887,0.404353,0.805504
0.807494,0.988876,0.406896,0.807624
0.81254,0.98905,0.409439,0.809013
0.817587,0.989222,0.411982,0.809158
0.822634,0.989391,0.414525,0.812919
0.827681,0.989559,0.417068,0.814591
0.832728,0.989724,0.419612,0.81625
0.837775,0.988527,0.422155,0.81796
0.842821,0.989373,0.424698,0.818627
0.847868,0.990209,0.427241,0.818203
0.852915,0.989699,0.429784,0.822048
0.857962,0.989194,0.432327,0.82205
0.843395,0.990017,0.43487,0.822052
0.848327,0.989516,0.437414,0.822054
0.853259,0.989675,0.439957,0.824815
0.851739,0.989831,0.4425,0.826305
0.850241,0.990631,0.445043,0.828787
0.848765,0.990138,0.447586,0.827565
0.817265,0.99029,0.450129,0.826176
0.80476,0.990439,0.452672,0.827015
0.792765,0.989324,0.455215,0.828765
0.78125,0.990733,0.457759,0.827815
0.760249,0.989629,0.460302,0.828087
0.73596,0.9904,0.462845,0.827393
0.704974,0.989927,0.465388,0.830248
0.676789,0.990688,0.467931,0.831526
0.647541,0.991439,0.470474,0.831595
0.614689,0.989146,0.473017,0.833513
0.590994,0.991108,0.475561,0.833868
0.577339,0.991245,0.478104,0.834873
0.559304,0.989587,0.480647,0.834393
0.537817,0.991515,0.48319,0.834798
0.520289,0.989874,0.485733,0.835082
0.514403,0.991192,0.488276,0.835247
0.512861,0.990154,0.490819,0.837208
0.505208,0.992619,0.493362,0.838462
0.501791,0.989848,0.495906,0.840865
0.500408,0.990564,0.498449,0.841115
0.502962,0.990698,0.500992,0.842918
0.505515,0.991401,0.503535,0.844191
0.508068,0.989824,0.506078,0.844021
0.510621,0.990526,0.508621,0.842659
0.513174,0.992342,0.511164,0.844595
0.515727,0.991905,0.513707,0.843522
0.516256,0.990916,0.516251,0.840566
0.518799,0.991597,0.518794,0.842864
0.521342,0.991721,0.521337,0.843316
0.523885,0.991295,0.52388,0.846316
0.526428,0.990326,0.526423,0.848528
0.528971,0.990998,0.528966,0.849895
0.531514,0.991122,0.531509,0.851476
0.534058,0.99232,0.534053,0.854548
0.536601,0.992437,0.536596,0.853836
0.539144,0.990954,0.539139,0.855225
0.541687,0.992137,0.541682,0.854571
0.54423,0.991197,0.544225,0.857702
0.546773,0.992367,0.546768,0.856328
0.549316,0.990912,0.549311,0.854972
0.55186,0.992593,0.551854,0.851969
0.554403,0.991669,0.554398,0.84854
0.556946,0.992815,0.556941,0.849997
0.559489,0.991899,0.559484,0.851077
0.562032,0.993543,0.562027,0.851677
0.564575,0.991615,0.56457,0.853899
0.567118,0.991729,0.567113,0.856164
0.569661,0.991337,0.569656,0.855327
0.572205,0.992956,0.5722,0.856269
0.574748,0.992563,0.574743,0.854817
0.577291,0.992173,0.577286,0.856268
0.579834,0.990793,0.579829,0.859003
0.582377,0.992389,0.582372,0.861213
0.58492,0.992005,0.584915,0.862638
0.587463,0.991631,0.587458,0.864728
0.590007,0.992231,0.590001,0.864021
0.59255,0.992337,0.592545,0.863987
0.595093,0.991967,0.595088,0.863596
0.597636,0.991125,0.597631,0.864225
0.600179,0.991259,0.600174,0.865407
0.602722,0.990905,0.602717,0.864358
0.605265,0.991506,0.60526,0.866185
0.607808,0.990226,0.607803,0.866344
0.610352,0.988012,0.610346,0.867804
0.612895,0.984385,0.61289,0.86596
0.615438,0.983129,0.615433,0.865572
0.617981,0.986061,0.617976,0.865927
0.620524,0.984798,0.620519,0.86569
0.623067,0.987232,0.623062,0.866778
0.62561,0.986435,0.625605,0.868154
0.628153,0.98747,0.628148,0.868153
0.630697,0.98577,0.630692,0.868007
0.63324,0.984532,0.633235,0.869413
0.635783,0.984208,0.635778,0.870619
0.638326,0.984338,0.638321,0.871286
0.640869,0.987157,0.640864,0.871177
0.643412,0.988164,0.643407,0.872269
0.645955,0.989162,0.64595,0.873308
0.648499,0.986621,0.648493,0.873336
0.651042,0.984973,0.651037,0.872458
0.653585,0.984656,0.65358,0.873912
0.656128,0.984781,0.328064,0.872235
0.658671,0.984468,0.329336,0.872547
0.661214,0.988933,0.330607,0.874079
0.663757,0.988609,0.331879,0.874477
0.6663,0.987427,0.33315,0.874406
0.668844,0.98496,0.334422,0.874056
0.671387,0.985081,0.335693,0.875099
0.67393,0.986055,0.336965,0.87739
0.676473,0.985746,0.338236,0.876661